"Medicare Part D Opioid Prescribing Rates from Calendar Year 2016,",,,,,,,,,,,
by ZIP Code,,,,,,,,,,,
,,,,,,,,,,,
,,,Calendar Year 2016,,,,,,,Change in Opioid Prescribing Rates 2013 to 2016,
State Name,State Abbreviation,ZIP Code,Part D Prescribers,Part D Opioid Prescribers,Opioid Claims,Extended Release Opioid Claims,Overall Claims,Opioid Prescribing Rate,Extended Release Opioid Prescribing Rate,Change in Opioid Prescribing Rate,Change in Extended Release Opioid Prescribing Rate 
Arizona,AZ,85016,464,197,"20,700","2,104","251,938",8.22,10.16,-0.11,2.52
Arizona,AZ,85017,31,11,"2,124",367,"34,021",6.24,17.28,3.88,17.28
Arizona,AZ,85018,237,115,"26,945","4,152","313,928",8.58,15.41,0.72,1.42
Arizona,AZ,85019,18,5,215,0,"9,427",2.28,0.00,-8.48,0.00
Arizona,AZ,85020,265,154,"16,840","1,303","318,589",5.29,7.74,-0.78,0.73
Arizona,AZ,85021,131,74,"8,176",724,"224,797",3.64,8.86,-2.99,-0.05
Arizona,AZ,85022,71,26,"3,600",401,"46,592",7.73,11.14,0.42,0.51
Arizona,AZ,85023,77,51,"8,693",647,"33,364",26.06,7.44,11.69,2.00
Arizona,AZ,85024,24,11,889,30,"22,355",3.98,3.37,-0.70,1.47
Arizona,AZ,85027,168,102,"34,931","5,743","216,209",16.16,16.44,-4.20,-1.93
Arizona,AZ,85028,116,51,"5,729",455,"83,031",6.90,7.94,-2.69,-3.26
Arizona,AZ,85029,46,26,"9,633","1,975","69,023",13.96,20.50,0.22,-1.10
Arizona,AZ,85031,62,39,"4,338",268,"85,844",5.05,6.18,-0.43,1.33
Arizona,AZ,85032,373,196,"29,857","2,239","606,052",4.93,7.50,-0.87,-1.14
Arizona,AZ,85033,50,19,"5,814","1,580","44,107",13.18,27.18,3.59,11.64
Arizona,AZ,85034,18,7,"2,561",554,"23,420",10.94,21.63,6.03,13.81
Arizona,AZ,85035,25,11,"3,313",81,"75,571",4.38,2.44,-1.93,-1.23
Arizona,AZ,85037,158,82,"12,438",771,"196,137",6.34,6.20,-1.74,-2.42
Arizona,AZ,85040,10,3,139,0,"2,982",4.66,0.00,-1.42,0.00
Arizona,AZ,85041,21,15,"1,683",111,"28,291",5.95,6.60,-3.93,-5.03
Arizona,AZ,85042,72,31,"4,377",299,"101,395",4.32,6.83,0.14,3.52
Arizona,AZ,85043,12,2,96,0,"2,238",4.29,0.00,-2.67,0.00
Arizona,AZ,85044,100,39,"2,819",210,"65,579",4.30,7.45,-0.89,2.14
Arizona,AZ,85048,137,81,"8,599",616,"148,998",5.77,7.16,0.25,1.54
Arizona,AZ,85050,75,35,"8,211","1,223","83,241",9.86,14.89,0.09,3.30
Arizona,AZ,85051,81,41,"10,068","1,083","164,804",6.11,10.76,-0.51,3.62
Arizona,AZ,85053,52,18,"1,669",71,"56,390",2.96,4.25,-0.50,0.21
Arizona,AZ,85054,226,91,"3,864",121,"66,823",5.78,3.13,-0.74,0.95
Arizona,AZ,85083,9,6,144,0,"4,730",3.04,0.00,-1.32,0.00
Arizona,AZ,85085,33,9,633,27,"10,919",5.80,4.27,-3.99,-8.38
Arizona,AZ,85086,57,36,"2,703",148,"42,020",6.43,5.48,-0.74,0.74
